"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","img-wrp href 2","he-lazy-image src 2","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 3"
"https://www.hepsiemlak.com/ankara-etimesgut-yeni-baglica-kiralik/daire/1444-3488","54","47.500","25-08-2025","Kiralık Daire","3 +
                          1","145 m²","10
                        Yaşında","6. Kat","Etimesgut Bağlıca Bakımlı Eşyalı Kiralık 3+1 Daire","Ankara / Etimesgut / Yeni Bağlıca Mah.","https://www.hepsiemlak.com/emlak-ofisi/aradigin-ev-gayrimenkul-1444","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/5/6/2/5/0/4/4/1737111192100-44052654.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/4/4/1/0/0/647a04a3-335c-4464-b3bf-1257423abffd.jpg","Aradığın Ev Gayrimenkul","",""
"https://www.hepsiemlak.com/ankara-cankaya-prof-dr-ahmet-taner-kislali-kiralik/daire/8315-16181","55","47.500","03-09-2025","Kiralık Daire","3 +
                          1","130 m²","29
                        Yaşında","15. Kat","Konutkent 2 Sitesinde A6 Blokta 3+1 Kiralık Daire","Ankara / Çankaya / Prof. Dr. Ahmet Taner Kışlalı Mah.","https://www.hepsiemlak.com/emlak-ofisi/kw-angora-gayrimenkul-8315","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/9/5/3/3/9/4/4/1752431923-6169848-44933590.jpeg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/1/3/8/0/0/565223f4-8870-4d2e-8f61-c0c61ab2c912.jpg","Kw Angora Gayrimenkul","",""
"https://www.hepsiemlak.com/ankara-cankaya-buyukesat-kiralik/daire/25115-603","26","47.500","16-08-2025","Kiralık Daire","1 +
                          1","75 m²","Sıfır Bina","1. Kat","*** Herşey Dahil 1+1 Eşyalı Kiralık ***","Ankara / Çankaya / Büyükesat Mah.","https://www.hepsiemlak.com/emlak-ofisi/nese-gayrimenkul-25115","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/6/2/8/2/9/4/4/0abafd50-1cca-4c2a-a32e-0593f23b21b5.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/1/1/5/2/0/0ec963a4-fea8-4c3d-a1cf-7fb1aa6fa630.jpg","Neşe Gayrimenkul","",""
"https://www.hepsiemlak.com/ankara-cankaya-bayraktar-kiralik/daire/0-44913289","33","47.500","09-07-2025","Kiralık Daire","4 +
                          1","280 m²","20
                        Yaşında","Ara Kat","Çankaya Gop Elitevler Rezidansta 4+1 Lüx Daire","Ankara / Çankaya / Bayraktar Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/8/2/3/1/9/4/4/C-6yrq6xg2oNKc70zBdXE.jpg","","","","",""
"https://www.hepsiemlak.com/ankara-cankaya-ilkbahar-kiralik/daire/0-38791729","14","47.500","25-08-2025","Kiralık Daire","1 +
                          1","87 m²","10
                        Yaşında","8. Kat","Sinpaş Altın Oran Lüks Eşyalı Sahibinden Kiralık","Ankara / Çankaya / İlkbahar Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/7/1/9/7/8/3/1755369806271-38791729.jpg","","","","",""
"https://www.hepsiemlak.com/ankara-etimesgut-yeni-baglica-kiralik/daire/1444-3449","40","47.500","25-08-2025","Kiralık Daire","3 +
                          1","145 m²","10
                        Yaşında","6. Kat","Ankara Çevreyolu Etimesgut Bağlıca Bakımlı Eşyalı 3+1 Kiralık Daire","Ankara / Etimesgut / Yeni Bağlıca Mah.","https://www.hepsiemlak.com/emlak-ofisi/aradigin-ev-gayrimenkul-1444","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/0/2/9/1/8/3/4/1752347066974-43819206.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/4/4/1/0/0/647a04a3-335c-4464-b3bf-1257423abffd.jpg","Aradığın Ev Gayrimenkul","",""
"https://www.hepsiemlak.com/ankara-cankaya-ilkbahar-kiralik/daire/121733-2248","21","47.500","16-07-2025","Kiralık Daire","2 +
                          1","135 m²","8
                        Yaşında","11. Kat","Sinpaş Altınoran 2,5+1 Kiralık Balkonlu Büyük Tip Özel Dekorlu","Ankara / Çankaya / İlkbahar Mah.","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-kenzi-121733","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/8/8/4/4/9/4/4/1752657973-1361299-44944884.jpeg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/3/7/1/2/1/afdc3969-96d8-4c44-81a5-c868d2229cb6.jpg","Coldwell Banker Kenzi","",""
"https://www.hepsiemlak.com/ankara-etimesgut-yeni-baglica-kiralik/daire/1444-3422","57","47.500","25-08-2025","Kiralık Daire","3 +
                          1","145 m²","10
                        Yaşında","6. Kat","Ankara Çevreyolu Yakınında Etimesgut Bağlıca Bulvarı Bakımlı Eşyalı 3+1 Kiralık Daire","Ankara / Etimesgut / Yeni Bağlıca Mah.","https://www.hepsiemlak.com/emlak-ofisi/aradigin-ev-gayrimenkul-1444","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/6/8/5/1/6/3/4/1730126833551-43615860.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/4/4/1/0/0/647a04a3-335c-4464-b3bf-1257423abffd.jpg","Aradığın Ev Gayrimenkul","",""
"https://www.hepsiemlak.com/ankara-cankaya-gaziosmanpasa-kiralik/daire/6632-1838","36","48.000","15-09-2025","Kiralık Daire","3 +
                          1","145 m²","45
                        Yaşında","2. Kat","Gop Boğaz Sokak'ta Kiralık  2. Kat Ön Yan Cepheli,  Şömineli, 2 Banyolu, 2 Balkonlu Daire!","Ankara / Çankaya / Gaziosmanpaşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/nadin-emlak-6632","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/3/6/6/0/0/d7716a95-b75f-42ee-a2c4-35e3dfbbadbc.jpg","","","Nadin Emlak","",""
"https://www.hepsiemlak.com/ankara-cankaya-malazgirt-kiralik/daire/41553-8005","41","48.000","16-09-2025","Kiralık Daire","3 +
                          1","140 m²","25
                        Yaşında","10. Kat","Ckm'den Dikmen Cd Üzeri Yapılı Eşyalı Manzaralı Asansörlü 3+1","Ankara / Çankaya / Malazgirt Mah.","https://www.hepsiemlak.com/emlak-ofisi/ckm-gayrimenkul-41553/malik-cetin-811277","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/7/2/1/1/8/c51052e8-ea34-495b-b890-35f10ab09ddb.jpg","https://www.hepsiemlak.com/emlak-ofisi/ckm-gayrimenkul-41553","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/5/5/1/4/0/0b2fae4b-0513-4777-9b5b-95b2527ccf1b.jpg","Ckm Gayrimenkul","Malik
          Çetin",""
"https://www.hepsiemlak.com/ankara-cankaya-mebusevleri-kiralik/daire/88053-5838","36","48.000","16-09-2025","Kiralık Daire","4 +
                          1","145 m²","22
                        Yaşında","1. Kat","Arel'den Mebusevleri 1 Kat Ön Cephe A.Otoparklı 4+1","Ankara / Çankaya / Mebusevleri Mah.","https://www.hepsiemlak.com/emlak-ofisi/arel-emlak-88053/mucella-uzundal-1739783","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/3/8/7/9/3/7/1/8f397e78-3c00-4dd0-9e23-69006646b7c4.jpg","https://www.hepsiemlak.com/emlak-ofisi/arel-emlak-88053","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/5/0/8/8/0/72f3ea51-a09f-4b55-b049-230ff335b790.jpg","Arel Emlak","Mucella
          Uzundal",""
"https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-kiralik/daire/87775-600","22","48.000","16-09-2025","Kiralık Daire","3 +
                          1","120 m²","42
                        Yaşında","3. Kat","Bu İlk Katta Ön Merkezi 3+1 Ful Eşyalı 115m2 Net","Ankara / Çankaya / Bahçelievler Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/9/3/9/8/1/5/4/1756893510-414837-45189397.jpeg","","","","",""
