"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/ankara-cankaya-kavaklidere-kiralik/daire/22003-2154","27","30.000","16-09-2025","Kiralık Daire","3 +
                          1","120 m²","35
                        Yaşında","3. Kat","Kavaklıdere Yalım Sokak'ta  Otoparklı 3+1 Kiralık Daire","Ankara / Çankaya / Kavaklıdere Mah.","https://www.hepsiemlak.com/emlak-ofisi/elit-as-gayrimenkul-22003/mine-aykul-22003","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/1/3/2/2/9/4/4/1752213985894-44922312.jpg","Elit As Gayrimenkul","Mine
          Aykul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/3/0/0/2/2/0/8bf446a4-60b6-494d-88d1-365f6309c7ff.jpg","https://www.hepsiemlak.com/emlak-ofisi/elit-as-gayrimenkul-22003","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/0/0/2/2/0/759339e5-7328-42ab-8edb-bd4a2d9b20e0.jpg"
"https://www.hepsiemlak.com/ankara-yenimahalle-ata-kiralik/daire/67191-4159","30","30.000","11-09-2025","Kiralık Daire","3 +
                          1","145 m²","16
                        Yaşında","2. Kat","Ata Mahallesi Mavibayrak Sitesinde Kiralık 3+1 Daire...","Ankara / Yenimahalle / Ata Mah.","https://www.hepsiemlak.com/emlak-ofisi/uzel-gayrimenkul-67191/cuma-filiz-1282468","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/6/4/2/8/2/1/8b7461fe-274c-4076-b378-749684a2dd6f.jpg","Uzel Gayrimenkul","Cuma
          Filiz","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/9/1/7/6/0/783ec220-457c-4a5e-a921-de729112e86f.jpg","https://www.hepsiemlak.com/emlak-ofisi/uzel-gayrimenkul-67191",""
"https://www.hepsiemlak.com/ankara-mamak-safaktepe-kiralik/daire/22875-3238","29","30.000","14-09-2025","Kiralık Daire","3 +
                          1","145 m²","20
                        Yaşında","1. Kat","Şafaktepe De,3+1,130m2 Kiralık Daire","Ankara / Mamak / Şafaktepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/anatolia-emlak-22875","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/7/8/2/2/0/4b0562db-697f-4797-b1cb-6bb824916ecb.jpg","Anatolia Emlak","","","",""
"https://www.hepsiemlak.com/ankara-cankaya-yukari-bahcelievler-kiralik/daire/56844-1112","16","30.000","16-09-2025","Kiralık Daire","3 +
                          1","110 m²","30
                        Yaşında","Yüksek Giriş","İmajdan Deneme Lisesi Yakını Ön Cephe 3+1","Ankara / Çankaya / Yukarı Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/imaj-insaat-gayrimenkul-56844/hasan-belek-1055588","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","İmaj İnşaat Gayrimenkul","Hasan
          Belek","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/4/8/6/5/0/a682f990-bb8f-4168-b0dd-97680cf82a4f.jpg","https://www.hepsiemlak.com/emlak-ofisi/imaj-insaat-gayrimenkul-56844",""
"https://www.hepsiemlak.com/ankara-cankaya-umut-kiralik/daire/149880-127","21","30.000","16-09-2025","Kiralık Daire","3 +
                          1","120 m²","20
                        Yaşında","Kot 1","İnternet Ve Abonelikler Açık Full Eşyalı Çok Temiz Masrafsız Bağımsız Salon 3+1 Kiralık Daire","Ankara / Çankaya / Umut Mah.","https://www.hepsiemlak.com/emlak-ofisi/ozkan-insaat-gayrimenkul-149880/ozkan-insaat-gayrimenkul-4233602","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/0/7/1/1/5/4/1755697544-275508-45117059.jpeg","Özkan İnşaat Gayrimenkul","Özkan İnşaat
          Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/0/6/3/3/2/4/328c9652-2576-4679-bc40-07e5e8753a4e.jpg","",""
"https://www.hepsiemlak.com/ankara-cankaya-malazgirt-kiralik/daire/6788-23370","24","30.000","16-09-2025","Kiralık Daire","3 +
                          1","130 m²","24
                        Yaşında","2. Kat","Hazar Emlak'tan Dikmen Cadde Yakını Manzaralı 3+1 Bağımsız Salon Arakat Kombili Güney Cephe","Ankara / Çankaya / Malazgirt Mah.","https://www.hepsiemlak.com/emlak-ofisi/hazar-emlak-6788","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/6/8/5/2/2/5/4/c26289fb-0a6d-44c4-82ea-de0c58867c26.jpg","Hazar Emlak","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/8/7/6/0/0/344b00e7-8903-435f-b455-79b228d35d5a.jpg","",""
"https://www.hepsiemlak.com/ankara-altindag-gunesevler-kiralik/daire/35001-3436","35","30.000","16-09-2025","Kiralık Daire","3 +
                          1","130 m²","10
                        Yaşında","1. Kat","Güneşevler'de Asansörlü Ebeveyn Banyolu Full Yapılı 3+1 Kiralık","Ankara / Altındağ / Güneşevler Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/9/8/8/5/2/5/4/4b5534fc-dc03-4491-9448-24a867516471.jpg","","","","",""
"https://www.hepsiemlak.com/ankara-cankaya-osman-temiz-kiralik/daire/146714-191","27","30.000","11-09-2025","Kiralık Daire","3 +
                          1","150 m²","25
                        Yaşında","Ara Kat","19 Mayıs Hastanesine Yürüme Mesafesinde Geniş 3+1 Kiralık Daire","Ankara / Çankaya / Osman Temiz Mah.","https://www.hepsiemlak.com/emlak-ofisi/bonus-emlak-146714/hakan-tanriverdi-4164149","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/0/0/6/3/2/5/4/42970336-d4c6-4fdb-9ce6-ed98ffdd4856.jpg","Bonus Emlak","Hakan
          Tanrıverdi","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/4/1/4/6/1/4/eec226e7-82f0-414e-b3f8-63b50415b8df.jpg","https://www.hepsiemlak.com/emlak-ofisi/bonus-emlak-146714","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/1/7/6/4/1/9744a5a1-99de-4206-b7cc-5fd74953bf74.jpg"
"https://www.hepsiemlak.com/ankara-kecioren-asagi-eglence-kiralik/daire/49652-2414","35","30.000","15-09-2025","Kiralık Daire","3 +
                          1","120 m²","25
                        Yaşında","2. Kat","Etlik Şehir Hastanesi Yakını Orta Kat Cadde Üstü 3+1 Katta Yapılı Daire","Ankara / Keçiören / Aşağı Eğlence Mah.","https://www.hepsiemlak.com/emlak-ofisi/erka-gayrimenkul-49652","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/6/9/2/2/5/4/44676d56-c300-4c05-8c44-2c10bc4ce987.jpg","Erka Gayrimenkul","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/5/6/9/4/0/466bbc68-f4f5-4cbf-bc75-7dd05ef2565f.jpg","",""
"https://www.hepsiemlak.com/ankara-cankaya-harbiye-kiralik/daire/27748-680","60","30.000","11-09-2025","Kiralık Daire","3 +
                          1","128 m²","28
                        Yaşında","3. Kat","ᴇᴠᴀʟᴏꜰᴛ❖ Dikmen Caddesi Vakıfbank Karşısı 3+1 Katta Bakımlı Bağımsız Salonlu Güney Cephe","Ankara / Çankaya / Harbiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/evaloft-gayrimenkul-27748/samet-baltakiran-27748","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/1/5/0/0/2/5/4/a37f9231-c9fe-4db2-8f1e-603b025f6080.jpg","Evaloft Gayrimenkul","Samet
          Baltakıran","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/4/7/7/2/0/e5686f99-451f-4334-9ba9-c2943c85485c.jpg","https://www.hepsiemlak.com/emlak-ofisi/evaloft-gayrimenkul-27748","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/4/7/7/2/0/f62c463a-7636-4733-8f5f-435a9ece4417.jpeg"
